"AREACODE_NUM","X_EVENTIME","X_DATA_COUNT","DO_EVENTIME","DO_DATA_COUNT","X_CALLS","DO_CALLS"
"F","42293","19898","203106","707133","14302972","68258825"
"G","22931","9860","88272","468024","5779511","33847915"
"B","57028","19288","318041","828487","17027695","107371411"
"0000","146053","76180","959172","4269991","45612032","279637761"
"I","33740","8381","103015","418473","7422732","39246334"
"D","82135","9643","134331","462830","15548551","49392765"
"E","139550","33261","405850","2700919","48894994","136883241"
"A","135199","27924","465560","1645084","39074983","156892997"
"H","40837","10291","139625","654868","12557105","48700194"
"C","41005","9141","142947","501918","9323219","54611423"
