Country,国家
CountryID,国家编号
Continent,大陆
Adolescent fertility rate (%),青少年生育率（％）
Adult literacy rate (%),成人识字率（％）
Gross national income per capita (PPP international $),人均国民总收入（PPP国际美元）
Net primary school enrolment ratio female (%),小学净入学率比女性（％）
Net primary school enrolment ratio male (%),小学净入学率比男性（％）
Population (in thousands) total,人口（千）总
Population annual growth rate (%),人口年均增长率（％）
Population in urban areas (%),在市区人口（％）
Population living below the poverty line (% living on &lt; US$1 per day),生活在贫困线以下的人口（％<生活每天1美元）
Population median age (years),人口年龄中位数（年）
Population proportion over 60 (%),60岁以上人口的比例（％）
Population proportion under 15 (%),15岁以下人口的比例（％）
Registration coverage of births (%),出生登记覆盖（％）
Total fertility rate (per woman),总和生育率（每名妇女）
Antenatal care coverage - at least four visits (%),产前保健覆盖率 - 至少四次（％）
Antiretroviral therapy coverage among HIV-infected pregt women for PMTCT (%),抗逆转录病毒治疗艾滋病毒感染pregt妇女预防艾滋病母婴传播覆盖面（％）
Antiretroviral therapy coverage among people with advanced HIV infections (%),先进的艾滋病毒感染（％）的人之间的抗逆转录病毒疗法的覆盖率
Births attended by skilled health personnel (%),接生由熟练保健人员（％）
Births by caesarean section (%),通过剖腹产出生（％）
Children aged 6-59 months who received vitamin A supplementation (%),6-59个月收到补充维生素A（％）的儿童
Children aged &lt;5 years sleeping under insecticide-treated nets (%),儿童年龄<5岁睡在驱虫蚊帐（％）
Children aged &lt;5 years who received any antimalarial treatment for fever (%),儿童年龄<5岁，谁收到任何抗疟治疗发烧（％）
Children aged &lt;5 years with ARI symptoms taken to facility (%),岁的儿童5岁，患急性呼吸道感染症状采取设施（％）
Children aged &lt;5 years with diarrhoea receiving ORT (%),岁的儿童5岁腹泻的口服补液疗法（％）
Contraceptive prevalence (%),避孕普及率（％）
Neonates protected at birth against neonatal tetanus (PAB) (%),新生儿出生时的保护对新生儿破伤风（PAB）（％）
One-year-olds immunized with MCV,一岁儿童的免疫与MCV
One-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (DTP3) (%),一岁接种三剂白喉破伤风类毒素和百日咳疫苗（DTP3疫苗）（％）
One-year-olds immunized with three doses of Hepatitis B (HepB3) (%),一岁接种三剂B型肝炎（HepB3）（％）
One-year-olds immunized with three doses of Hib (Hib3) vaccine (%),一岁儿童免疫接种（Hib3）三个剂量的Hib疫苗（％）
Tuberculosis detection rate under DOTS (%),DOTS策略下肺结核检出率（％）
Tuberculosis treatment success under DOTS (%),结核病DOTS策略下的治疗成功率（％）
Women who have had mammography (%),有妇女乳房X光检查（％）
Women who have had PAP smear (%),谁曾子宫颈抹片检查的妇女（％）
Community and traditional health workers density (per 10 000 population),社区和传统的卫生工作者的密度（每10万人口）
Dentistry personnel density (per 10 000 population),牙科人员密度（每10万人口）
Environment and public health workers density (per 10 000 population),环境和公共卫生工作者的密度（每10万人口）
External resources for health as percentage of total expenditure on health,用于卫生的外部资源，卫生总费用的百分比
General government expenditure on health as percentage of total expenditure on health,政府卫生总支出卫生总开支的百分比
General government expenditure on health as percentage of total government expenditure,政府卫生总支出占政府总开支的百分比
Hospital beds (per 10 000 population),医院病床（每10万人口）
Laboratory health workers density (per 10 000 population),实验室卫生工作者的密度（每10万人口）
Number of community and traditional health workers,社区和传统的卫生工作者数量
Number of dentistry personnel,牙科人员数
Number of environment and public health workers,环境和公共卫生工作者数量
Number of laboratory health workers,实验室卫生工作者
Number of nursing and midwifery personnel,护理和助产人员数
Number of other health service providers,其他保健服务提供者的数目
Number of pharmaceutical personnel,医药人员数
Number of physicians,医师数
Nursing and midwifery personnel density (per 10 000 population),护理和助产人员密度（每10万人口）
Other health service providers density (per 10 000 population),其他保健服务提供者的密度（每10万人口）
Out-of-pocket expenditure as percentage of private expenditure on health,对健康的私人开支的百分比外的自费开支
Per capita government expenditure on health (PPP int. $),人均政府卫生支出（PPP诠释。）
Per capita government expenditure on health at average exchange rate (US$),人均政府卫生支出的平均汇率（美元）
Per capita total expenditure on health (PPP int. $),人均总卫生支出（PPP诠释。）
Per capita total expenditure on health at average exchange rate (US$),人均卫生总开支的平均汇率（美元）
Pharmaceutical personnel density (per 10 000 population),医药人才密度（每10万人口）
Physicians density (per 10 000 population),医师密度（每10万人口）
Private expenditure on health as percentage of total expenditure on health,私人卫生支出卫生总开支的百分比
Private prepaid plans as percentage of private expenditure on health,私人支出的比例，对健康的私人预付计划
Ratio of health management and support workers to health service providers,卫生服务提供者的卫生管理和支持工人的比例
Ratio of nurses and midwives to physicians,向医生，护士和助产士的比率
Social security expenditure on health as percentage of general government expenditure on health,对健康的社会保障支出，对健康的政府总开支的百分比
