X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
line,x,1.0,0.0,0.0,1.0,2.0,1.0
curve,x,1.0,0.9750286,0.65908,1.0,2.5849626,-0.15802355
curve,line,1.0,0.9750286,0.65908,1.0,2.5849626,-0.15802357
sin,x,1.0,0.9126506,0.72549,1.0,3.0,0.2955494
sin,line,1.0,0.9126506,0.72549,1.0,3.0,0.29554933
c1,p1,1.0,0.598325,0.021800041,1.0,2.0,-0.63377833
c2,p2,0.68129,0.6745876,0.29921997,0.68129,3.321928,-0.08186786
c2,c1,0.63092,0.63092,0.032539964,0.33064,3.5849626,-9.786795E-18
c1,p2,0.62206,0.58696777,0.12448999,0.62206,3.807355,-0.18732928
c2,p1,0.57148,0.44874087,0.31361,0.57148,3.807355,0.3503414
p2,p1,0.54408,0.34442347,0.16452003,0.54408,3.807355,0.44682944
sin,curve,0.51024,0.49533132,0.17990002,0.51024,3.807355,-0.12210116
p1,x,0.29301,0.28806242,0.05963999,0.29301,3.807355,-0.07033905
p1,line,0.29301,0.28806242,0.05963999,0.29301,3.807355,-0.07033908
p1,curve,0.29091,0.27317294,0.11803001,0.29091,3.807355,-0.13318056
c1,curve,0.29091,0.28936398,0.090500005,0.29091,3.807355,0.039319508
p2,y,0.26882,0.2672124,0.042510003,0.26882,3.807355,0.040094726
p2,sin,0.26624,0.26445267,0.048000008,0.26624,3.807355,0.042276796
p2,curve,0.26603,0.26207757,0.03937,0.26603,3.807355,-0.06286843
c1,y,0.25333,0.24525154,0.03521,0.25333,3.807355,-0.089880265
c1,x,0.25273,0.2510532,0.072880015,0.25273,3.807355,0.040948696
c1,line,0.25273,0.2510532,0.072880015,0.25273,3.807355,0.04094871
p1,sin,0.24847,0.22594896,0.043139994,0.24847,3.807355,0.1500701
c1,sin,0.24847,0.23723307,0.016819999,0.24847,3.807355,-0.10600438
curve,y,0.22758,0.19934565,0.020009995,0.22758,3.807355,-0.16803081
sin,y,0.22638,0.19641262,0.029010013,0.22638,3.807355,0.17311087
p1,y,0.21812,0.1837546,0.01918,0.21812,3.807355,0.18537907
y,x,0.20922,0.20898731,0.03357,0.20922,3.807355,-0.015254595
line,y,0.20922,0.20898731,0.03357,0.20922,3.807355,-0.015254572
c2,y,0.20147,0.20059504,0.05237001,0.20147,3.807355,0.029579837
c2,sin,0.18928,0.17967929,0.05183001,0.18928,3.807355,0.09798321
p2,x,0.1891,0.18881314,0.015690006,0.1891,3.807355,0.016936824
p2,line,0.1891,0.18881314,0.015690006,0.1891,3.807355,0.01693681
c2,curve,0.17537,0.1753479,0.039910004,0.17537,3.807355,-0.004700875
c2,x,0.16273,0.14899728,0.017750002,0.16273,3.807355,-0.117186695
c2,line,0.16273,0.14899726,0.017750002,0.16273,3.807355,-0.117186725
