220.181.108.151 31/Jan/2012:00:02:32 "-"
208.115.113.82 31/Jan/2012:00:07:54 "-"
220.181.94.221 31/Jan/2012:00:09:24 "-"
112.97.24.243 31/Jan/2012:00:14:48 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:48 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:48 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:47 "http://googleads.g.doubleclick.net/mads/gma?u_audio=1&hl=zh-CN&preqs=83&app_name=2.1.2.iphone.com.cronlygames.fruitlink&prl=2434&u_h=480&u_so=p&net=ed&u_w=320&ptime=8
112.97.24.243 31/Jan/2012:00:14:49 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:49 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:49 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:49 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:52 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:53 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:53 "http://f.dataguru.cn/forum-58-1.html"
112.97.24.243 31/Jan/2012:00:14:53 "http://f.dataguru.cn/forum-58-1.html"
220.181.108.175 31/Jan/2012:00:16:54 "-"
220.181.94.221 31/Jan/2012:00:19:15 "-"
218.5.72.173 31/Jan/2012:00:21:39 "-"
65.52.109.151 31/Jan/2012:00:24:47 "-"
220.181.94.221 31/Jan/2012:00:26:12 "-"
218.205.245.7 31/Jan/2012:00:27:16 "-"
123.147.244.39 31/Jan/2012:00:29:32 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:32 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:31 "-"
123.147.244.39 31/Jan/2012:00:29:32 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:33 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
123.147.244.39 31/Jan/2012:00:29:34 "http://f.dataguru.cn/forum-58-1.html"
